WeRich Exotic Cars|123 Main St|555-123-4567
10234|2022|Ferrari|Roma|coupe|red|500|220000.00
10567|2023|Lamborghini|Huracan|coupe|yellow|300|250000.00
10987|2021|Porsche|911 Carrera|coupe|white|1500|120000.00
11000|2020|McLaren|570S|coupe|orange|2000|190000.00
11222|2023|Bugatti|Chiron|coupe|black|100|3000000.00
11333|2021|Pagani|Huayra|coupe|green|300|2600000.00
11444|2022|Koenigsegg|Jesko|coupe|silver|500|3000000.00
11555|2023|Rivian|R1T|electric truck|blue|200|75000.00
11666|2023|Lamborghini|Urus|SUV|white|1200|230000.00
11777|2021|Tesla|Model X|SUV|black|2500|120000.00
11888|2022|Ford|F-150 Raptor|truck|red|1500|70000.00
11999|2023|GMC|Hummer EV|electric truck|green|100|110000.00
12000|2024|Ferrari|SF90 Stradale|coupe|red|100|400000.00
12001|2024|Lamborghini|Revuelto|coupe|yellow|50|450000.00
12002|2024|Aston Martin|DB11|coupe|blue|100|205000.00
12003|2023|Bentley|Continental GT|coupe|red|300|250000.00
12004|2024|Nissan|Z|coupe|yellow|150|50000.00
